                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2416,                 2.8586,                 1.4649,                0.32327,                0.44962,                 0.3746,                0.23044,                  1.309,                 2.0674,                 1.4245,               0.070081,              0.0033243,              0.0033243
                      1,                 1.0609,                 2.0494,                 1.3325,                0.43778,                0.57697,                0.50576,                0.30327,                 1.3311,                 1.7808,                 1.4353,               0.039917,              0.0064929,              0.0064929
                      2,                 1.0977,                 2.0035,                 1.3441,                0.42948,                0.51502,                0.45135,                0.26975,                 1.4508,                 1.8337,                 1.5077,              0.0095867,              0.0094964,              0.0094964
                      3,                 1.1516,                 2.0488,                 1.3582,                 0.3943,                0.48872,                0.44172,                0.25722,                 1.4872,                 2.0258,                 1.4979,              0.0092575,              0.0092575,              0.0092575
                      4,                 1.1296,                 2.0072,                 1.3444,                0.52144,                0.58103,                0.54945,                0.32999,                 1.3706,                 1.6771,                 1.3933,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.0958,                 1.8945,                 1.3222,                0.54963,                0.57807,                0.56039,                0.35773,                 1.3036,                 1.6333,                 1.3405,                0.00901,                0.00901,                0.00901
                      6,                 1.0764,                 1.8447,                 1.3138,                0.56661,                0.62027,                0.61189,                0.38948,                 1.2947,                 1.4753,                 1.3253,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.0409,                 1.7679,                 1.2934,                0.60832,                0.59943,                0.62744,                0.39813,                 1.2851,                  1.502,                 1.3094,               0.008515,               0.008515,               0.008515
                      8,                 1.0365,                  1.721,                 1.2897,                0.61394,                0.63485,                 0.6267,                0.39316,                 1.3059,                 1.4534,                 1.3097,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.0069,                 1.6838,                 1.2781,                0.63668,                0.63848,                0.67226,                0.42742,                  1.331,                 1.3326,                 1.3555,                0.00802,                0.00802,                0.00802
                     10,                0.99915,                 1.6242,                 1.2713,                0.70907,                0.62182,                0.67816,                0.42947,                 1.3165,                  1.377,                 1.3531,              0.0077725,              0.0077725,              0.0077725
                     11,                0.98255,                 1.5673,                 1.2654,                0.73762,                0.61003,                0.71917,                0.48219,                 1.1745,                 1.2142,                 1.2642,               0.007525,               0.007525,               0.007525
                     12,                0.97176,                 1.5378,                 1.2621,                0.73037,                0.69185,                0.73097,                0.47767,                  1.286,                 1.1651,                 1.3108,              0.0072775,              0.0072775,              0.0072775
                     13,                0.94562,                 1.4893,                 1.2477,                0.72865,                0.67683,                0.74182,                0.48379,                 1.2191,                 1.1957,                 1.2875,                0.00703,                0.00703,                0.00703
                     14,                 0.9364,                 1.4675,                 1.2423,                0.72889,                0.69607,                0.75383,                0.51002,                 1.1909,                 1.1463,                 1.2276,              0.0067825,              0.0067825,              0.0067825
                     15,                0.93041,                 1.4245,                 1.2384,                0.72069,                0.67281,                0.72626,                0.48078,                 1.2033,                 1.1676,                 1.2457,               0.006535,               0.006535,               0.006535
                     16,                0.91887,                 1.4002,                 1.2283,                0.72156,                0.68025,                0.76692,                0.50938,                 1.2109,                 1.1074,                 1.2426,              0.0062875,              0.0062875,              0.0062875
                     17,                0.89353,                  1.363,                 1.2211,                0.72719,                0.70404,                0.75152,                0.49575,                 1.2232,                 1.1446,                 1.2625,                0.00604,                0.00604,                0.00604
                     18,                0.89168,                 1.3172,                 1.2104,                0.78286,                0.71155,                 0.7781,                0.52783,                 1.2004,                 1.0616,                 1.2384,              0.0057925,              0.0057925,              0.0057925
                     19,                0.88315,                 1.2906,                 1.2135,                0.73781,                0.72659,                0.77294,                0.51818,                 1.2033,                 1.0795,                 1.2445,               0.005545,               0.005545,               0.005545
